Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible
RED PEPPERS,393376.0,5485412.74,4881.0,71281.0,25121.0,361938.0,2244.0
RHUBARB,1880.0,34460.0,17.0,310.0,85.0,1550.0,20.0
ROCKET,3698.0,53738.0,90.0,1470.0,47.0,796.0,7.0
ROSEMARY,2261.0,18261.0,78.0,750.0,15.0,139.0,18.0
SAGE,135.0,2989.0,5.0,114.0,1.0,23.0,35.0
SALAD,504.0,5040.0,3.0,36.0,1.0,7.0,7.0
SATSUMAS,282544.0,3571710.0,11577.0,134021.0,33877.0,402140.0,38614.0
SHU-SHU,830.0,13265.0,20.0,173.0,80.0,692.0,20.0
SOUP GREENS,11592.0,213566.0,76.0,1454.0,465.0,9116.0,43.0
SPEARMINT,3555.0,76590.5,99.0,1828.0,132.0,3371.0,208.0
SPINACH,124048.8,2274818.71,6459.0,106640.0,31796.0,525198.0,4098.0
SPRING ONIONS,14360.0,248717.0,290.0,5015.0,951.0,17374.0,133.0
STARFRUIT(CARAMBOLA),2990.0,70570.0,15.0,290.0,30.0,580.0,177.0
STRAWBERRIES,63084.0,1467274.5,413.0,6351.0,1037.0,18771.0,309.0
SWEET BASIL,3438.0,29100.0,86.0,741.0,39.0,355.0,6.0
SWEET CORN,166580.0,2705131.0,853.0,26531.0,3542.0,87465.0,201.0
SWEET MELONS,82570.0,1569950.12,1740.0,32831.0,12186.0,236556.0,2870.0
SWEET POTATO,170554.0,4635043.74,3563.0,194462.0,43041.0,1430291.0,6257.0
TABLE CELERY,62150.0,736098.0,187.0,3070.0,1694.0,27564.0,1.0
THYME,590.0,10397.0,22.0,391.0,4.0,78.0,6.0
TOMATOES,4828438.68,74795605.0,178727.0,3315473.0,635198.0,10561939.0,25700.0
TOMATOES DRIED,260.0,8600.0,2.0,119.0,2.0,119.0,65.0
TURIA,140.0,8320.0,2.0,113.0,8.0,452.0,5.0
TURMERIC,1650.0,4000.0,3.0,9.0,15.0,45.0,88.0
TURNIP,2058.0,103177.83,50.0,2414.0,381.0,17252.0,115.0
VIRTUAL PRODUCT,0.0,0.0,0.0,0.0,0.0,0.0,602308.0
WATERCRESS,400.0,2065.0,20.0,111.0,4.0,22.0,7.0
WATERMELONS,341238.0,4354550.6,17812.0,191695.0,106912.0,1152746.0,13884.0
WILD ROCKET,415.0,2825.0,17.0,122.0,2.0,12.0,38.0
YELLOW PEPPERS,209942.0,3886377.06,1567.0,41872.0,7829.0,209336.0,494.0
